I	O
Love	O
Indonesia	B-LOC
.	O
Salah	O
satunya	O
adalah	O
Pantai	B-WIS
Kuta	I-WIS
tempat	O
untuk	O
menikmati	O
parasailing	O
,	O
banana	O
boat	O
,	O
atau	O
pijatan	B-FAS
tradisional	O
di	O
pinggir	O
pantai	B-WIS
dari	O
masyarakat	O
setempat	O
atau	O
ada	O
yang	O
memilin	O
rambut	O
.	O
Selain	O
itu	O
,	O
atraksi	B-FAS
yang	O
dapat	O
dilakukan	O
di	O
Kuta	B-WIS
ialah	O
Bungee	B-FAS
Jumping	I-FAS
dan	O
Bali	B-FAS
Slingshot	I-FAS
.	O
Sesaat	O
sebelum	O
sunset	O
,	O
jangan	O
lewatkan	O
datang	O
ke	O
pantai	B-WIS
untuk	O
menikmati	O
indahnya	O
matahari	O
terbenam	O
di	O
pantai	B-WIS
Kuta	I-WIS
yang	O
melegenda	O
.	O
Ketika	O
awan	O
mulai	O
gelap	O
maka	O
kehidupan	O
malam	O
Kuta	B-WIS
dimulai	O
dengan	O
hentakan	O
musik	O
dari	O
bar	O
dan	O
restoran	B-FAS
,	O
serta	O
toko-toko	B-FAS
yang	O
buka	O
hingga	O
larut	O
malam	O
.	O
Telah	O
banyak	O
band	O
dan	O
selebritis	O
dunia	O
terkenal	O
secara	O
sukarela	O
bernyanyi	O
memeriahkan	O
suasana	O
di	O
Kuta	B-WIS
.	O
Pokoknya	O
Next	O
Vacation	O
,	O
AKU	O
AKAN	O
KESANA	O
LAGI	O
.	O
.	O
Wait	O
me	O
Pantai	B-WIS
Kuta	I-WIS
.	O
.	O

Bersih	O
pantainya	B-WIS
,	O
cuman	O
buat	O
ke	O
toilet	B-FAS
bayar	O
15rb	O
utk	O
buang	O
air	O
kecil	O
,	O
25	O
rbu	O
untuk	O
mandi	O
.	O
.	O
Klo	O
abis	O
main	O
pasir	O
ada	O
sih	O
pancuran	O
gratis	O
dkt	O
pantainya	B-WIS
,	O
yah	O
cmn	O
pasti	O
ga	O
bersih	O
buat	O
bersihin	O
badannya	O
.	O
.	O

disini	O
ada	O
wisata	O
jeep	B-FAS
,	O
menyusuri	O
desa	O
dan	O
daerah	O
yang	O
pernah	O
erupsi	O
gunung	B-WIS
merapi	I-WIS
,	O
sangat	O
menarik	O
buat	O
dilihat	O
bersama	O
keluarga	O

Pertama	O
kali	O
melihat	O
sunset	O
di	O
bali	B-LOC
pada	O
tahun	O
2012	O
,	O
saat	O
itu	O
hanya	O
sekedar	O
transit	O
dari	O
NTT	B-LOC
.	O
Sambil	O
berjalan	O
kaki	O
mencari	O
pantai	B-WIS
Kuta	I-WIS
bali	B-LOC
,	O
lihat	O
kiri	O
lihat	O
kanan	O
,	O
wisatawan	O
panggilannya	O
oleh	O
orang	O
indonesia	B-LOC
sebagai	O
bule	O
dengan	O
santainya	O
menikmati	O
keramahan	O
Bali	B-LOC
mulai	O
dari	O
jalanan	O
sampai	O
ke	O
pinggir	O
pantai	B-WIS
Kuta	I-WIS
.	O
Sesampai	O
di	O
pantai	B-WIS
Kuta	I-WIS
terlihat	O
sangat	O
ramai	O
orang	O
menunggu	O
sunset	O
dengan	O
berbagai	O
kegiatan	O
baik	O
itu	O
berjemur	O
,	O
bermain	O
ombak	O
ataupun	O
hanya	O
sekedar	O
meramaikan	O
pantai	B-WIS
Kuta	I-WIS
.	O
Setelah	O
melihat	O
sunset	O
saya	O
segera	O
kembali	O
ke	O
hotel	B-FAS
untuk	O
istirahat	O
untuk	O
melanjutkan	O
penerbangan	O
besok	O
hari	O
nya	O
bersama	O
garuda	O
indonesia	B-LOC
.	O

Candi	B-WIS
yang	O
begitu	O
indah	O
dan	O
sangat	O
besar	O
,	O
memberikan	O
kesan	O
yang	O
sangat	O
menyenangkan	O
ketika	O
bisa	O
menginjakan	O
kaki	O
ke	O
tempat	O
tersebut	O
.	O
lokasi	O
candi	B-WIS
borobudur	I-WIS
sendiri	O
berada	O
di	O
magelang	B-LOC
,	O
sebaiknya	O
datang	O
lebih	O
pagi	O
,	O
karna	O
ketika	O
siang	O
hari	O
sudah	O
muncul	O
,	O
rasa	O
panas	O
cukup	O
tidak	O
tertahankan	O
.	O
pada	O
bagian	O
atas	O
candi	B-WIS
borobudur	I-WIS
banyak	O
orang	O
yang	O
berputar	O
sebanyak	O
7	O
kali	O
searah	O
jarum	O
jam	O
.	O
karna	O
banyak	O
orang	O
yang	O
percaya	O
bahwa	O
dengan	O
berputar	O
7	O
kali	O
dan	O
tidak	O
berbicara	O
serta	O
terus	O
